id,form_id,name,form_name,type1,type2,hp,attack,defense,special_attack,special_defense,speed,bst,ability1,ability2,hidden_ability,egg_group1,egg_group2,growth_rate,catch_rate,base_exp
CHARIZARD,0,Charizard,,FIRE,FLYING,78,84,78,109,85,100,534,BLAZE,,SOLARPOWER,Monster,Dragon,Parabolic,45,267
CHARIZARD_1,1,Charizard,,FIRE,DRAGON,78,130,111,130,85,100,634,TOUGHCLAWS,,TOUGHCLAWS,Monster,Dragon,Parabolic,45,317
CHARIZARD_2,2,Charizard,,FIRE,FLYING,78,104,78,159,115,100,634,DROUGHT,,DROUGHT,Monster,Dragon,Parabolic,45,317
CHARJABUG,0,Charjabug,,BUG,ELECTRIC,57,82,95,55,75,36,400,BATTERY,,ELECTROMORPHOSIS,Bug,,Medium,120,140
CHARMANDER,0,Charmander,,FIRE,,39,52,43,60,50,65,309,BLAZE,,SOLARPOWER,Monster,Dragon,Parabolic,45,62
CHARMELEON,0,Charmeleon,,FIRE,,58,64,58,80,65,80,405,BLAZE,,SOLARPOWER,Monster,Dragon,Parabolic,45,142
CHATOT,0,Chatot,,SOUND,FLYING,76,40,60,96,57,111,440,KEENEYE,EQUALIZE,CACOPHONY,Flying,,Parabolic,30,144
CHERRIM,0,Cherrim,,GRASS,,70,60,70,87,78,85,450,FLOWERGIFT,,,Fairy,Grass,Medium,75,158
CHERRIM_1,1,Cherrim,,GRASS,,70,60,70,87,78,85,450,FLOWERGIFT,,,Fairy,Grass,Medium,75,158
CHERUBI,0,Cherubi,,GRASS,,45,35,45,62,53,35,275,CHLOROPHYLL,,,Fairy,Grass,Medium,190,55
CHESNAUGHT,0,Chesnaught,,GRASS,FIGHTING,88,107,122,74,75,64,530,OVERGROW,,BULLETPROOF,Field,,Parabolic,45,265
CHESPIN,0,Chespin,,GRASS,,56,61,65,48,45,38,313,OVERGROW,,BULLETPROOF,Field,,Parabolic,45,63
CHEWTLE,0,Chewtle,,WATER,,50,64,50,38,38,44,284,STRONGJAW,SHELLARMOR,SWIFTSWIM,Monster,Water1,Medium,255,57
CHIENPAO,0,Chien-Pao,,DARK,ICE,80,120,80,90,65,135,570,SWORDOFRUIN,,,Undiscovered,,Slow,6,285
CHIENTILLY,0,Chientilly,,FAIRY,ICE,78,115,71,52,91,33,440,SWEETVEIL,MISTYSURGE,CREAMSHIELD,Xenoverse,,Fast,45,167
CHIGAMI,0,Chigami,,FAIRY,,40,37,35,27,40,66,245,ROUGHSKIN,,SHARPNESS,Fairy,Dragon,Medium,255,70
CHIKABOO,0,Chikaboo,,GROUND,DARK,40,45,45,35,35,56,256,RUNAWAY,,SANDVEIL,Flying,Field,Slow,255,71
CHIKORITA,0,Chikorita,,GRASS,,45,49,65,49,65,45,318,OVERGROW,,TRIAGE,Monster,Grass,Parabolic,45,64
CHIMAOOZE,0,WIP,,NORMAL,SOUND,1,1,1,1,1,1,6,RUNAWAY,,,Undiscovered,,Slow,1,100
CHIMCHAR,0,Chimchar,,FIRE,,44,58,44,58,44,61,309,BLAZE,,IRONFIST,Field,Humanlike,Parabolic,45,62
CHIMECHO,0,Chimecho,,PSYCHIC,,75,50,80,95,90,65,455,LEVITATE,,,Amorphous,,Fast,45,159
CHIMECHO_1,1,Chimecho,,ICE,SOUND,80,40,65,95,70,105,455,SYNTHESIZER,,FROSTCHIME,Undiscovered,,Fast,70,97
CHINCHOU,0,Chinchou,,WATER,ELECTRIC,75,38,38,56,56,67,330,VOLTABSORB,ILLUMINATE,WATERABSORB,Water2,,Slow,190,66
CHINGLING,0,Chingling,,PSYCHIC,,45,30,50,65,50,45,285,LEVITATE,,,Undiscovered,,Fast,120,57
CHINGLING_1,1,Chingling,,ICE,SOUND,50,25,30,70,50,60,285,SYNTHESIZER,,SNOWWARNING,Amorphous,Fairy,Fast,120,57
CHIRIPE,0,Chiripe,,GRASS,FLYING,45,40,40,65,55,65,310,OVERGROW,,UNBURDEN,Grass,Flying,Parabolic,45,100
CHIYU,0,Chi-Yu,,DARK,FIRE,55,80,80,135,120,100,570,BEADSOFRUIN,,,Undiscovered,,Slow,6,285
CHUBIBURNY,0,Chubiburny,,FIRE,FAIRY,59,63,47,35,43,33,280,THICKFAT,GLUTTONY,MARSHMALLOW,Field,Monster,Medium,120,68
CINCCINO,0,Cinccino,,NORMAL,,75,95,60,65,60,115,470,CUTECHARM,TECHNICIAN,SKILLLINK,Field,,Fast,60,165
CINDERACE,0,Cinderace,,FIRE,,80,116,75,65,75,119,530,BLAZE,,LIBERO,Field,Humanlike,Parabolic,45,265
CLAMPERL,0,Clamperl,,WATER,,35,64,85,74,55,32,345,SHELLARMOR,,RATTLED,Water1,,Erratic,255,69
CLAUNCHER,0,Clauncher,,WATER,,50,53,62,58,63,44,330,MEGALAUNCHER,,QUICKDRAW,Water1,Water3,Slow,225,66
CLAWITZER,0,Clawitzer,,WATER,,71,73,88,120,89,59,500,MEGALAUNCHER,,QUICKDRAW,Water1,Water3,Slow,55,100
CLAYDOL,0,Claydol,,GROUND,PSYCHIC,60,70,105,70,120,75,500,ROOMWARPER,,,Mineral,,Medium,90,175
CLEFABLE,0,Clefable,,FAIRY,,95,70,73,95,90,60,483,CUTECHARM,MAGICGUARD,UNAWARE,Fairy,,Fast,25,242
CLEFAIRY,0,Clefairy,,FAIRY,,70,45,48,60,65,35,323,CUTECHARM,MAGICGUARD,FRIENDGUARD,Fairy,,Fast,150,113
CLEFFA,0,Cleffa,,FAIRY,,50,25,28,45,55,15,218,CUTECHARM,MAGICGUARD,FRIENDGUARD,Undiscovered,,Fast,150,44
CLOBBOPUS,0,Clobbopus,,FIGHTING,,50,68,60,50,50,32,310,LIMBER,,TECHNICIAN,Water1,Humanlike,Parabolic,180,62
CLODSIRE,0,Clodsire,,POISON,GROUND,130,80,70,40,115,20,455,POISONPOINT,WATERABSORB,UNAWARE,Water1,Field,Medium,90,151
CLOYSTER,0,Cloyster,,WATER,ICE,50,95,180,85,45,70,525,SHELLARMOR,SKILLLINK,OVERCOAT,Water3,,Slow,60,184
COALOSSAL,0,Coalossal,,ROCK,FIRE,110,80,120,80,90,30,510,STEAMENGINE,FLAMEBODY,FLASHFIRE,Mineral,,Parabolic,45,255
COBALION,0,Cobalion,,STEEL,FIGHTING,91,90,129,90,72,108,580,JUSTIFIED,,,Undiscovered,,Slow,3,290
COFAGRIGUS,0,Cofagrigus,,GHOST,,58,50,145,95,105,30,483,MUMMY,,OVERCOAT,Mineral,Amorphous,Medium,90,169
COFAGRIGUSX,0,Cofagrigus,,WATER,ROCK,135,53,95,70,100,30,483,STORMDRAIN,HEALER,WATERBUBBLE,Xenoverse,,Medium,60,269
COMBEE,0,Combee,,BUG,FLYING,30,30,42,30,42,70,244,HONEYGATHER,,HUSTLE,Bug,,Parabolic,120,49
COMBUSKEN,0,Combusken,,FIRE,FIGHTING,60,85,60,85,60,55,405,BLAZE,,SPEEDBOOST,Field,,Parabolic,45,142
COMFEY,0,Comfey,,FAIRY,,51,52,90,82,110,100,485,FLOWERVEIL,TRIAGE,NATURALCURE,Grass,,Fast,60,170
CONKELDURR,0,Conkeldurr,,FIGHTING,,105,140,95,55,65,45,505,GUTS,SHEERFORCE,IRONFIST,Humanlike,,Parabolic,45,253
COPPERAJAH,0,Copperajah,,STEEL,,122,130,69,80,69,30,500,SHEERFORCE,,HEAVYMETAL,Field,Mineral,Medium,90,175
CORPHISH,0,Corphish,,WATER,,43,80,65,35,50,35,308,STURDY,SHELLARMOR,ADAPTABILITY,Water1,Water3,Fluctuating,205,62
CORSOLA,0,Corsola,,WATER,ROCK,65,55,95,65,95,35,410,WEAKARMOR,NATURALCURE,REGENERATOR,Water1,Water3,Fast,80,144
CORSOLAR,0,Corsolar,,WATER,FIRE,75,45,130,95,145,20,510,SUNBLESSED,,REGENERATOR,Water1,Water3,Fast,30,144
CORSOLA_1,1,Corsola,,GHOST,,60,55,100,65,100,30,410,WEAKARMOR,,CURSEDBODY,Water1,Water3,Fast,80,144
CORVIKNIGHT,0,Corviknight,,FLYING,STEEL,98,87,105,53,85,67,495,DISHEARTEN,STAMINA,MIRRORARMOR,Flying,,Parabolic,45,248
CORVISQUIRE,0,Corvisquire,,FLYING,,68,67,55,43,55,77,365,KEENEYE,UNNERVE,BIGPECKS,Flying,,Parabolic,120,128
COSMOEM,0,Cosmoem,,PSYCHIC,,43,29,131,29,131,37,400,STURDY,,,Undiscovered,,Slow,45,140
COSMOG,0,Cosmog,,PSYCHIC,,43,29,31,29,31,37,200,UNAWARE,,,Undiscovered,,Slow,45,40
COTTONEE,0,Cottonee,,GRASS,FAIRY,40,27,60,37,50,66,280,PRANKSTER,INFILTRATOR,CHLOROPHYLL,Grass,Fairy,Medium,190,56
CRABOMINABLE,0,Crabominable,,FIGHTING,ICE,97,132,77,42,67,63,478,HYPERCUTTER,IRONFIST,ANGERPOINT,Water3,,Medium,60,167
CRABRAWLER,0,Crabrawler,,FIGHTING,,47,82,57,42,47,63,338,HYPERCUTTER,IRONFIST,ANGERPOINT,Water3,,Medium,225,68
CRADILY,0,Cradily,,ROCK,GRASS,86,81,97,81,107,43,495,SUCTIONCUPS,,STORMDRAIN,Water3,,Erratic,45,173
CRAMORANT,0,Cramorant,,FLYING,WATER,70,85,55,85,95,85,475,GULPMISSILE,,,Water1,Flying,Medium,45,166
CRAMORANT_1,1,Cramorant,,FLYING,WATER,70,85,55,85,95,85,475,GULPMISSILE,,,Water1,Flying,Medium,45,166
CRAMORANT_2,2,Cramorant,,FLYING,WATER,70,85,55,85,95,85,475,GULPMISSILE,,,Water1,Flying,Medium,45,166
CRANIDOS,0,Cranidos,,ROCK,,67,125,40,30,30,58,350,MOLDBREAKER,,SHEERFORCE,Monster,,Erratic,45,70
CRAWDAUNT,0,Crawdaunt,,WATER,DARK,73,120,85,55,90,55,478,STURDY,SHELLARMOR,ADAPTABILITY,Water1,Water3,Fluctuating,155,164
CRESSELIA,0,Cresselia,,PSYCHIC,,120,70,120,75,130,85,600,LEVITATE,,,Undiscovered,,Slow,3,300
CROAGUNK,0,Croagunk,,POISON,FIGHTING,48,61,40,61,40,50,300,POISONTOUCH,DRYSKIN,COMPETITIVE,Humanlike,,Medium,140,60
CROAKLING,0,Croakling,,FIRE,,45,55,50,55,50,55,310,BLAZE,,RECKLESS,Field,,Parabolic,45,100
CROAKRAZE,0,Croakraze,,FIRE,GROUND,85,105,70,90,70,115,535,BLAZE,,RECKLESS,Field,,Parabolic,45,100
CROBAT,0,Crobat,,POISON,FLYING,85,90,80,70,80,130,535,INNERFOCUS,,INFILTRATOR,Flying,,Medium,90,268
CROCALOR,0,Crocalor,,FIRE,,81,55,78,90,58,49,411,BLAZE,,UNAWARE,Field,,Parabolic,45,144
CROCONAW,0,Croconaw,,WATER,,65,80,80,59,63,58,405,TORRENT,,SHEERFORCE,Monster,Water1,Parabolic,45,142
CRUSTLE,0,Crustle,,BUG,ROCK,70,105,125,65,75,55,495,STURDY,SHELLARMOR,WEAKARMOR,Bug,Mineral,Medium,75,170
CRYOGONAL,0,Cryogonal,,ICE,,80,50,50,95,135,105,515,LEVITATE,,,Mineral,,Medium,25,180
CUBCHOO,0,Cubchoo,,ICE,,55,70,40,60,40,40,305,SNOWCLOAK,SLUSHRUSH,RATTLED,Field,,Medium,120,61
CUBONE,0,Cubone,,GROUND,GHOST,50,50,95,40,50,35,320,ROCKHEAD,LIGHTNINGROD,BATTLEARMOR,Monster,,Medium,190,64
CUBONE_1,1,Cubone,,GROUND,GHOST,50,50,95,40,50,35,320,ROCKHEAD,LIGHTNINGROD,BATTLEARMOR,Monster,,Medium,190,64
CUFANT,0,Cufant,,STEEL,,72,80,49,40,49,40,330,SHEERFORCE,,HEAVYMETAL,Field,Mineral,Medium,190,66
CURSOLA,0,Cursola,,GHOST,,60,95,50,145,130,30,510,WEAKARMOR,,PERISHBODY,Water1,Water3,Fast,30,179
CUTIEFLY,0,Cutiefly,,BUG,FAIRY,40,45,40,55,40,84,304,HONEYGATHER,SHIELDDUST,SWEETVEIL,Bug,Fairy,Medium,190,61
CYCLIZAR,0,Cyclizar,,DRAGON,NORMAL,70,95,65,85,65,121,501,SHEDSKIN,,REGENERATOR,Field,,Parabolic,190,175
CYNDAQUIL,0,Cyndaquil,,FIRE,NORMAL,39,52,50,60,43,65,309,BLAZE,,FLASHFIRE,Field,,Parabolic,45,62
DACHSBUN,0,Dachsbun,,FAIRY,,57,85,115,50,80,95,482,WELLBAKEDBODY,AROMAVEIL,KLUTZ,Field,Mineral,Parabolic,90,167
DARKRAI,0,Darkrai,,DARK,,70,90,90,135,90,125,600,BADDREAMS,,,Undiscovered,,Slow,3,300
DARMANITAN,0,Darmanitan,,FIRE,,105,140,55,30,55,95,480,SHEERFORCE,,ZENMODE,Field,,Parabolic,60,168
DARMANITAN_1,1,Darmanitan,,FIRE,PSYCHIC,105,30,105,140,105,55,540,SHEERFORCE,,ZENMODE,Field,,Parabolic,60,189
DARMANITAN_2,2,Darmanitan,,ICE,,105,140,55,30,55,95,480,GORILLATACTICS,,ZENMODE,Field,,Parabolic,60,168
DARMANITAN_3,3,Darmanitan,,ICE,FIRE,105,160,55,30,55,135,540,GORILLATACTICS,,ZENMODE,Field,,Parabolic,60,189
DARTRIX,0,Dartrix,,GRASS,FLYING,78,75,75,70,70,52,420,OVERGROW,,LONGREACH,Flying,,Parabolic,45,147
DARUMAKA,0,Darumaka,,FIRE,,70,90,45,15,45,50,315,HUSTLE,,INNERFOCUS,Field,,Parabolic,120,63
DARUMAKA_2,2,Darumaka,,ICE,,70,90,45,15,45,50,315,HUSTLE,,INNERFOCUS,Field,,Parabolic,120,63
DECIDUEYE,0,Decidueye,,GRASS,GHOST,78,107,75,100,100,70,530,OVERGROW,,LONGREACH,Flying,,Parabolic,45,265
DECIDUEYE_1,1,Decidueye,,GRASS,FIGHTING,88,112,80,95,95,60,530,OVERGROW,,SCRAPPY,Flying,,Parabolic,45,265
DEDENNE,0,Dedenne,,ELECTRIC,FAIRY,67,58,57,81,67,101,431,CHEEKPOUCH,PICKUP,PLUS,Field,Fairy,Medium,180,151
DEERLING,0,Deerling,,NORMAL,GRASS,60,60,50,40,50,75,335,CHLOROPHYLL,SAPSIPPER,SERENEGRACE,Field,,Medium,190,67
DEERLING_1,1,Deerling,,NORMAL,GRASS,60,60,50,40,50,75,335,CHLOROPHYLL,SAPSIPPER,SERENEGRACE,Field,,Medium,190,67
DEERLING_2,2,Deerling,,NORMAL,GRASS,60,60,50,40,50,75,335,CHLOROPHYLL,SAPSIPPER,SERENEGRACE,Field,,Medium,190,67
DEERLING_3,3,Deerling,,NORMAL,GRASS,60,60,50,40,50,75,335,CHLOROPHYLL,SAPSIPPER,SERENEGRACE,Field,,Medium,190,67
DEINO,0,Deino,,DARK,DRAGON,52,65,50,45,50,38,300,HUSTLE,,,Dragon,,Slow,45,60
DELCATTY,0,Delcatty,,NORMAL,,70,65,65,55,55,90,400,CUTECHARM,NORMALIZE,WONDERSKIN,Field,Fairy,Fast,60,140
DELIBIRD,0,Delibird,,ICE,FLYING,65,85,55,35,65,70,375,VITALSPIRIT,HUSTLE,SKILLLINK,Water1,Field,Fast,85,116
DELPHOX,0,Delphox,,FIRE,PSYCHIC,75,69,72,114,100,104,534,BLAZE,,MAGICIAN,Field,,Parabolic,45,267
DEOXYS,0,Deoxys,,PSYCHIC,,50,150,50,150,50,150,600,PRESSURE,,,Undiscovered,,Slow,3,300
DEOXYS_1,1,Deoxys,,PSYCHIC,,50,180,20,180,20,150,600,PRESSURE,,,Undiscovered,,Slow,3,300
DEOXYS_2,2,Deoxys,,PSYCHIC,,50,70,160,70,160,90,600,PRESSURE,,,Undiscovered,,Slow,3,300
DEOXYS_3,3,Deoxys,,PSYCHIC,,50,95,90,95,90,180,600,PRESSURE,,,Undiscovered,,Slow,3,300
DEWGONG,0,Dewgong,,WATER,ICE,90,70,80,70,95,70,475,THICKFAT,HYDRATION,ICEBODY,Water1,Field,Medium,75,166
DEWOTT,0,Dewott,,WATER,,75,75,60,83,60,60,413,TORRENT,,SHELLARMOR,Field,,Parabolic,45,145
DEWPIDER,0,Dewpider,,WATER,BUG,38,40,52,40,72,27,269,WATERBUBBLE,,WATERABSORB,Water1,Bug,Medium,200,54
DHELMISE,0,Dhelmise,,GHOST,GRASS,70,131,100,86,90,40,517,STEELWORKER,,,Mineral,,Medium,25,181
DIALGA,0,Dialga,,STEEL,DRAGON,100,120,120,150,100,90,680,PRESSURE,,TELEPATHY,Undiscovered,,Slow,3,340
DIALGA_1,1,Dialga,,STEEL,DRAGON,100,100,120,150,120,90,680,PRESSURE,,TELEPATHY,Undiscovered,,Slow,3,340
DIANCIE,0,Diancie,,ROCK,FAIRY,50,100,150,100,150,50,600,CLEARBODY,,,Undiscovered,,Slow,3,300
DIANCIE_1,1,Diancie,,ROCK,FAIRY,50,160,110,160,110,110,700,MAGICBOUNCE,,MAGICBOUNCE,Undiscovered,,Slow,3,350
DIELEBI,0,WIP,,NORMAL,SOUND,1,1,1,1,1,1,6,RUNAWAY,,,Undiscovered,,Slow,1,100
DIGGERSBY,0,Diggersby,,NORMAL,GROUND,85,56,77,50,77,78,423,PICKUP,CHEEKPOUCH,HUGEPOWER,Field,,Medium,127,148
DIGLETT,0,Diglett,,GROUND,,10,55,25,35,45,95,265,SANDVEIL,ARENATRAP,SANDFORCE,Field,,Medium,255,53
DIGLETT_1,1,Diglett,,GROUND,STEEL,10,55,30,35,45,90,265,SANDVEIL,TANGLINGHAIR,SANDFORCE,Field,,Medium,255,53
DIPPLIN,0,Dipplin,,GRASS,DRAGON,80,80,110,95,90,40,495,SUPERSWEETSYRUP,GLUTTONY,STICKYHOLD,Grass,Dragon,Erratic,45,170
DITTO,0,Ditto,,NORMAL,,48,48,48,48,48,48,288,LIMBER,,IMPOSTER,Ditto,,Medium,35,101
DITTOX,0,WIP,,NORMAL,SOUND,1,1,1,1,1,1,6,RUNAWAY,,,Undiscovered,,Slow,1,100
DODRIO,0,Dodrio,,NORMAL,FLYING,65,110,70,60,60,110,475,STRIKER,EARLYBIRD,SKILLLINK,Flying,,Medium,45,165
DODUO,0,Doduo,,NORMAL,FLYING,35,85,45,35,35,75,310,RUNAWAY,EARLYBIRD,TANGLEDFEET,Flying,,Medium,190,62
DOLLIV,0,Dolliv,,GRASS,NORMAL,52,53,60,78,78,33,354,EARLYBIRD,,HARVEST,Grass,,Parabolic,120,124
DONANAS,0,Donanas,,GRASS,STEEL,65,65,105,40,85,120,480,SHELLARMOR,IRONBARBS,WATERABSORB,Grass,Flying,Medium,200,177
DONDOZO,0,Dondozo,,WATER,,150,100,115,65,65,35,530,UNAWARE,OBLIVIOUS,WATERVEIL,Water2,,Slow,25,265
DONPHAN,0,Donphan,,GROUND,,90,120,120,60,60,50,500,PICKUP,SANDVEIL,SPEEDBOOST,Field,,Medium,60,175
DOTTLER,0,Dottler,,BUG,PSYCHIC,50,35,80,50,90,30,335,SWARM,COMPOUNDEYES,TELEPATHY,Bug,,Medium,120,117
DOUBLADE,0,Doublade,,STEEL,GHOST,59,110,150,45,49,35,448,NOGUARD,,,Mineral,,Medium,90,157
DRACOVISH,0,Dracovish,,WATER,DRAGON,90,90,100,70,80,75,505,WATERABSORB,STRONGJAW,SANDRUSH,Undiscovered,,Slow,45,177
DRACOZOLT,0,Dracozolt,,ELECTRIC,DRAGON,90,100,90,80,70,75,505,VOLTABSORB,HUSTLE,SANDRUSH,Undiscovered,,Slow,45,177
DRAGALGE,0,Dragalge,,POISON,DRAGON,65,75,90,97,123,44,494,CORROSION,,ADAPTABILITY,Water1,Dragon,Medium,55,173
DRAGALISK,0,Dragalisk,,ICE,GROUND,1,1,1,1,1,1,6,RUNAWAY,,,Undiscovered,,Slow,1,100
DRAGALISKX,0,WIP,,NORMAL,SOUND,1,1,1,1,1,1,6,RUNAWAY,,,Undiscovered,,Slow,1,100
DRAGAPULT,0,Dragapult,,DRAGON,GHOST,88,120,75,100,75,142,600,CLEARBODY,INFILTRATOR,CURSEDBODY,Amorphous,Dragon,Slow,45,300
DRAGAPULT_1,1,Dragapult,,DRAGON,ROCK,88,132,115,90,105,70,600,ANALYTIC,MEGALAUNCHER,ROCKHEAD,Amorphous,Dragon,Slow,45,300
DRAGONAIR,0,Dragonair,,DRAGON,,61,84,65,70,70,70,420,SHEDSKIN,,MARVELSCALE,Water1,Dragon,Slow,45,147
DRAGONITE,0,Dragonite,,DRAGON,FLYING,91,134,95,100,100,80,600,INNERFOCUS,,MULTISCALE,Water1,Dragon,Slow,45,300
DRAKLOAK,0,Drakloak,,DRAGON,GHOST,68,80,50,60,50,102,410,CLEARBODY,INFILTRATOR,CURSEDBODY,Amorphous,Dragon,Slow,45,144
DRAKLOAK_1,1,Drakloak,,DRAGON,ROCK,68,87,80,60,75,40,410,ANALYTIC,STURDY,ROCKHEAD,Amorphous,Dragon,Slow,45,144
DRAMPA,0,Drampa,,NORMAL,DRAGON,78,60,85,135,91,36,485,BERSERK,SOUNDPROOF,CLOUDNINE,Monster,Dragon,Medium,70,170
DRAPION,0,Drapion,,POISON,DARK,70,90,110,60,75,95,500,BATTLEARMOR,SNIPER,KEENEYE,Bug,Water3,Slow,45,175
DRATINI,0,Dratini,,DRAGON,,41,64,45,50,50,50,300,SHEDSKIN,,MARVELSCALE,Water1,Dragon,Slow,45,60
DREDNAW,0,Drednaw,,WATER,ROCK,90,115,90,48,68,74,485,STRONGJAW,SHELLARMOR,SWIFTSWIM,Monster,Water1,Medium,75,170
DREEPY,0,Dreepy,,DRAGON,GHOST,28,60,30,40,30,82,270,CLEARBODY,INFILTRATOR,CURSEDBODY,Amorphous,Dragon,Slow,45,54
DREEPY_1,1,Dreepy,,DRAGON,ROCK,38,67,65,40,40,20,270,SHELLARMOR,STURDY,ROCKHEAD,Amorphous,Dragon,Slow,45,54
DRIFBLIM,0,Drifblim,,GHOST,FLYING,150,80,44,90,54,80,498,AFTERMATH,UNBURDEN,FLAREBOOST,Amorphous,,Fluctuating,60,174
DRIFLOON,0,Drifloon,,GHOST,FLYING,90,50,34,60,44,70,348,AFTERMATH,UNBURDEN,FLAREBOOST,Amorphous,,Fluctuating,125,70
DRILBUR,0,Drilbur,,GROUND,,60,85,40,30,45,68,328,SANDRUSH,SANDFORCE,MOLDBREAKER,Field,,Medium,120,66
DRIZZILE,0,Drizzile,,WATER,,65,60,55,95,55,90,420,TORRENT,,SNIPER,Water1,Field,Parabolic,45,147
DROWZEE,0,Drowzee,,PSYCHIC,SOUND,60,58,65,43,90,42,358,INSOMNIA,INNERFOCUS,NOGUARD,Humanlike,,Medium,190,66
DRUDDIGON,0,Druddigon,,DRAGON,,100,120,90,60,90,40,500,ROUGHSKIN,SHEERFORCE,ROCKHEAD,Monster,Dragon,Medium,45,170
DUBWOOL,0,Dubwool,,NORMAL,,72,80,100,60,90,88,490,FLUFFY,STEADFAST,BULLETPROOF,Field,,Medium,127,172
DUCKLETT,0,Ducklett,,WATER,FLYING,62,44,50,44,50,55,305,KEENEYE,BIGPECKS,HYDRATION,Water1,Flying,Medium,190,61
DUDUNSPARCE,0,Dudunsparce,,NORMAL,GROUND,125,100,80,85,75,55,520,SERENEGRACE,MOLDBREAKER,SCALATE,Field,,Parabolic,45,182
DUDUNSPARCE_1,1,Dudunsparce,,NORMAL,GROUND,125,100,80,85,75,55,520,SERENEGRACE,MOLDBREAKER,SCALATE,Field,,Parabolic,45,182
DUGTRIO,0,Dugtrio,,GROUND,,35,100,50,50,70,120,425,SANDVEIL,ARENATRAP,SANDFORCE,Field,,Medium,50,149
DUGTRIO_1,1,Dugtrio,,GROUND,STEEL,35,100,60,50,70,110,425,SANDVEIL,TANGLINGHAIR,SANDFORCE,Field,,Medium,50,149
DUNSPARCE,0,Dunsparce,,NORMAL,GROUND,100,70,70,65,65,45,415,SERENEGRACE,RUNAWAY,RATTLED,Field,,Medium,190,145
DUOSION,0,Duosion,,PSYCHIC,,65,40,50,125,60,30,370,OVERCOAT,MAGICGUARD,REGENERATOR,Amorphous,,Parabolic,100,130
DURALUDON,0,Duraludon,,STEEL,DRAGON,70,95,115,120,50,85,535,LIGHTMETAL,HEAVYMETAL,STALWART,Mineral,Dragon,Medium,45,187
DURANT,0,Durant,,BUG,STEEL,58,109,112,48,48,109,484,SWARM,HUSTLE,TRUANT,Bug,,Medium,90,169
DUSCLOPS,0,Dusclops,,GHOST,,40,70,130,60,130,25,455,PRESSURE,,FRISK,Amorphous,,Fast,90,159
DUSKNOIR,0,Dusknoir,,GHOST,,45,100,135,65,135,45,525,PRESSURE,,FRISK,Amorphous,,Fast,45,263
DUSKULL,0,Duskull,,GHOST,,20,40,90,30,90,25,295,LEVITATE,,FRISK,Amorphous,,Fast,190,59
DUSMEE,0,Dusmee,,DRAGON,,40,40,50,60,55,55,300,SHEDSKIN,WONDERSKIN,MARVELSCALE,Dragon,Humanlike,Slow,200,56
DUSTOX,0,Dustox,,BUG,POISON,60,50,70,50,90,65,385,SHIELDDUST,,COMPOUNDEYES,Bug,,Medium,45,193
DWEBBLE,0,Dwebble,,BUG,ROCK,50,65,85,35,35,55,325,STURDY,SHELLARMOR,WEAKARMOR,Bug,Mineral,Medium,190,65
EELEKTRIK,0,Eelektrik,,ELECTRIC,,65,85,70,75,70,40,405,LEVITATE,,,Amorphous,,Slow,60,142
EELEKTROSS,0,Eelektross,,ELECTRIC,,85,115,80,105,80,50,515,LEVITATE,,,Amorphous,,Slow,30,258
EEVEE,0,Eevee,,NORMAL,,55,55,50,45,65,55,325,RUNAWAY,ADAPTABILITY,FRIENDGUARD,Field,,Medium,45,65
EGOHISS,0,Egohiss,,DRAGON,,70,50,80,80,80,60,420,SHEDSKIN,WONDERSKIN,MARVELSCALE,Dragon,Humanlike,Slow,120,146
EGORGEON,0,Egorgeon,,DRAGON,ELECTRIC,80,110,80,135,80,115,600,DAZZLING,WONDERSKIN,MULTISCALE,Dragon,Humanlike,Slow,45,300
EISCUE,0,Eiscue,,ICE,,75,80,110,65,90,50,470,ICEFACE,,,Water1,Field,Slow,60,165
EISCUE_1,1,Eiscue,,ICE,,75,80,70,65,50,130,470,ICEFACE,,,Water1,Field,Slow,60,165
EKANS,0,Ekans,,POISON,SOUND,35,60,44,40,54,55,288,INTIMIDATE,SHEDSKIN,UNNERVE,Field,Dragon,Medium,255,58
ELDEGOSS,0,Eldegoss,,GRASS,,75,55,95,90,120,60,495,COTTONDOWN,REGENERATOR,HOSPITALITY,Grass,,Medium,75,161
ELECTABURST,0,Electaburst,,FIRE,ELECTRIC,75,100,67,123,85,100,550,LEVITATE,,LIGHTNINGROD,Xenoverse,,Parabolic,45,102
ELECTABUZZ,0,Electabuzz,,ELECTRIC,,90,105,57,53,85,105,495,STATIC,,VITALSPIRIT,Humanlike,,Medium,45,172
ELECTABUZZX,0,Electabuzz,,FIRE,,65,83,57,95,85,105,490,AFTERMATH,,FLASHFIRE,Xenoverse,,Parabolic,45,102
ELECTIVIRE,0,Electivire,,ELECTRIC,,100,125,67,63,85,100,540,MOTORDRIVE,,VITALSPIRIT,Humanlike,,Medium,30,270
ELECTRIKE,0,Electrike,,ELECTRIC,,40,45,40,65,40,65,295,STATIC,LIGHTNINGROD,MINUS,Field,,Slow,120,59
ELECTRODE,0,Electrode,,ELECTRIC,,60,50,70,80,80,150,490,SOUNDPROOF,STATIC,AFTERMATH,Mineral,,Medium,60,172
ELECTRODE_1,1,Electrode,,ELECTRIC,GRASS,60,50,70,80,80,150,490,STATIC,SOLARPOWER,AFTERMATH,Mineral,,Medium,60,172
ELEKID,0,Elekid,,ELECTRIC,,60,83,37,35,55,95,365,STATIC,,VITALSPIRIT,Undiscovered,,Medium,45,72
