id,name,type,category,power,accuracy,pp,priority,target,description
DREAMEATER,Dream Eater,PSYCHIC,Physical,100,100,15,0,NearOther,The user eats the dreams of a sleeping foe. It absorbs half the damage caused to heal the user's HP.
DRILLPECK,Drill Peck,FLYING,,80,100,20,0,Other,A corkscrewing attack with the sharp beak acting as a drill.
DRILLRUN,Drill Run,GROUND,,80,95,10,0,NearOther,The user crashes into its target while rotating its body like a drill. Critical hits land more easily.
DRUMBEATING,Drum Beating,GRASS,,80,100,10,0,NearOther,"The user plays its drum, controlling roots to attack. This also lowers the target's Speed stat."
DUALCHOP,Dual Chop,DRAGON,,40,90,15,0,NearOther,The user attacks its target by hitting it with brutal strikes. The target is hit twice in a row.
DUALWINGBEAT,Dual Wingbeat,FLYING,,45,90,10,0,NearOther,The user slams the target with its wings. The target is hit twice in a row.
DUSTPOUND,Dust Pound,GROUND,,40,100,30,0,NearOther,"The user takes a pound of dust or sand into its fists, and hits the opponent."
DYNAMAXCANNON,Dynamax Cannon,DRAGON,Physical,100,100,5,0,NearOther,The user unleashes a strong beam from its core.
DYNAMICPUNCH,Dynamic Punch,FIGHTING,,100,50,5,0,NearOther,"The user punches the target with full, concentrated power. It confuses the target if it hits."
EARCLAP,Earclap,SOUND,,85,90,20,0,NearOther,The user hits the targets' ears with a powerful clap. It may flinch the target.
EARTHPOWER,Earth Power,GROUND,Physical,90,100,10,0,NearOther,The user makes the ground under the foe erupt with power. It may also lower the target's Sp. Def.
EARTHQUAKE,Earthquake,GROUND,,100,100,10,0,AllNearOthers,The user sets off an earthquake that strikes every Pokémon around it.
ECHOEDVOICE,Echoed Voice,SOUND,Physical,40,100,15,0,NearOther,"The user attacks the foe with an echoing voice. If this move is used every turn, it does greater damage."
EERIEIMPULSE,Eerie Impulse,ELECTRIC,Special,0,100,15,0,NearOther,The user's body generates an eerie impulse. Harshly lowers the target's Sp. Atk stat.
EERIESPELL,Eerie Spell,PSYCHIC,Physical,80,100,5,0,NearOther,The user attacks with tremendous psychic power. This also removes 3 PP from the target's last move.
EGGBOMB,Egg Bomb,NORMAL,,100,75,10,0,NearOther,A large egg is hurled at the target with maximum force to inflict damage.
ELECTRICTERRAIN,Electric Terrain,ELECTRIC,Special,0,0,10,0,BothSides,The user electrifies the ground for five turns. Pokémon on the ground no longer fall asleep.
ELECTRIFY,Electrify,ELECTRIC,Special,0,0,20,0,NearOther,"If the target uses a move after being electrified, that move becomes Electric-type."
ELECTROBALL,Electro Ball,ELECTRIC,Physical,1,100,10,0,NearOther,The user hurls an electric orb at the foe. It does more damage the faster the user is.
ELECTRODRIFT,Electro Drift,ELECTRIC,Physical,100,100,5,0,NearOther,A futuristic electric strike. This move’s power is boosted more than usual if it’s a supereffective hit.
ELECTROSHOT,Electro Shot,ELECTRIC,Physical,105,100,10,0,NearOther,A two-turn attack. The user boosts its Sp. Atk and then fires a high-voltage shot. Acts immediately in rain.
ELECTROSWING,Electro Swing,ELECTRIC,Special,0,100,20,0,NearOther,"The user sings an energetic song, that leaves the target paralyzed."
ELECTROWEB,Electroweb,ELECTRIC,Physical,55,95,15,0,AllNearFoes,The user captures opposing Pokémon in an electric net to inflict damage. This also lowers their Speed stats.
EMBARGO,Embargo,DARK,Special,0,100,15,0,NearOther,It prevents the target from using its held item. Its Trainer is also prevented from using items on it.
EMBER,Ember,FIRE,Physical,40,100,25,0,NearOther,The target is attacked with small flames. It may also leave the target with a burn.
ENCORE,Encore,NORMAL,Special,0,100,5,0,NearOther,The user compels the target to keep using only the move it last used for three turns.
ENDEAVOR,Endeavor,NORMAL,,1,100,5,0,NearOther,An attack move that cuts down the target's HP to equal the user's HP.
ENDURE,Endure,NORMAL,Special,0,0,10,4,User,The user endures any attack with at least 1 HP. Its chance of failing rises if it is used in succession.
ENERBEAM,Enerbeam,NORMAL,Physical,90,95,15,0,NearOther,"The user shoots a powerful beam made of pure elemental energy, dealing damage."
ENERGYBALL,Energy Ball,GRASS,Physical,90,100,10,0,NearOther,The user draws power from nature and fires it at the target. It may also lower the target's Sp. Def.
ENERSTORM,Enerstorm,NORMAL,Physical,110,90,10,0,AllNearFoes,The user creates a powerful storm of elemental energy that hits both opponents.
ENTRAINMENT,Entrainment,NORMAL,Special,0,100,15,0,NearOther,"The user dances to compel the target to mimic it, making the target's Ability the same as the user's."
ERUPTION,Eruption,FIRE,Physical,150,100,5,0,AllNearFoes,"The user attacks in an explosive fury. The lower the user's HP, the less powerful this attack becomes."
ESPERWING,Esper Wing,PSYCHIC,,80,100,10,0,NearOther,The user slashes with aura-enriched wings which boosts its Speed stat. Critical hits land more easily.
ETERNABEAM,Eternabeam,DRAGON,Physical,160,90,5,0,NearOther,This is Eternatus's most powerful attack in its original form. The user can't move on the next turn.
EXPANDINGFORCE,Expanding Force,PSYCHIC,Physical,80,100,10,0,NearOther,The user attacks the target with psychic power. Powers up and hits all foes on Psychic Terrain.
EXPLOSION,Explosion,NORMAL,,250,100,5,0,AllNearOthers,The user explodes to inflict damage on those around it. The user faints upon using this move.
EXTRASENSORY,Extrasensory,PSYCHIC,Physical,80,100,20,0,NearOther,"The user attacks with an odd, unseeable power. It may also make the target flinch."
EXTREMESPEED,Extreme Speed,NORMAL,,80,100,5,2,NearOther,The user charges the target at blinding speed. This attack always goes before any other move.
FACADE,Facade,NORMAL,,70,100,20,0,NearOther,"An attack move that doubles its power if the user is poisoned, burned, or has paralysis."
FAIRYLOCK,Fairy Lock,FAIRY,Special,0,0,10,0,BothSides,"By locking down the battlefield, the user keeps all Pokémon from fleeing during the next turn."
FAIRYPLEDGE,Fairy Pledge,FAIRY,Physical,70,100,10,0,NearOther,Blasts the target with a strong wave of fairy energy. Uses the higher attack stat.
FAIRYWIND,Fairy Wind,FAIRY,Physical,40,100,30,0,NearOther,The user stirs up a fairy wind and strikes the target with it.
FAKEOUT,Fake Out,NORMAL,,40,100,10,3,NearOther,An attack that hits first and makes the target flinch. It only works the first turn the user is in battle.
FAKETEARS,Fake Tears,DARK,Special,0,100,20,0,NearOther,"The user feigns crying to fluster the target, harshly lowering its Sp. Def stat."
FALSESURRENDER,False Surrender,DARK,,80,0,10,0,NearOther,"The user pretends to bow its head, but then it stabs the target with its disheveled hair. Never misses."
FALSESWIPE,False Swipe,NORMAL,,40,100,40,0,NearOther,A restrained attack that prevents the target from fainting. The target is left with at least 1 HP.
FEATHERDANCE,Feather Dance,FLYING,Special,0,100,15,0,NearOther,The user covers the target's body with a mass of down that harshly lowers its Attack stat.
FEINT,Feint,NORMAL,,30,100,10,2,NearOther,An attack that hits a target using Protect or Detect. It also lifts the effects of those moves.
FEINTATTACK,Feint Attack,DARK,,60,0,20,0,NearOther,"The user draws up to the foe disarmingly, then throws a sucker punch. It hits without fail."
FELLSTINGER,Fell Stinger,BUG,,50,100,25,0,NearOther,"When the user knocks out a target with this move, the user’s Attack stat is boosted drastically."
FICKLEBEAM,Fickle Beam,DRAGON,Physical,80,100,5,0,NearOther,"Sometimes all of the user's heads shoot beams in unison, doubling this move's power."
FIERYDANCE,Fiery Dance,FIRE,Physical,80,100,10,0,NearOther,"Cloaked in flames, the user dances and flaps its wings. It may also raise the user's Sp. Atk stat."
FIERYWRATH,Fiery Wrath,DARK,Physical,90,100,10,0,AllNearFoes,The user transforms its wrath into a fire-like aura to attack. This may also make foes flinch.
FILLETAWAY,Fillet Away,NORMAL,Special,0,0,10,0,NearOther,"The user sharply boosts its Attack, Sp. Atk, and Speed stats by using its own HP."
FINALGAMBIT,Final Gambit,FIGHTING,Physical,1,100,5,0,NearOther,The user risks all to attack the foe. The user faints but does damage equal to its HP.
FIREBLAST,Fire Blast,FIRE,Physical,110,85,5,0,NearOther,The foe is attacked with an intense blast of all-consuming fire. It may also leave the target with a burn.
FIREFANG,Fire Fang,FIRE,,65,95,15,0,NearOther,The user bites with flame-cloaked fangs. It may also make the target flinch or leave it burned.
FIREKUNAI,Fire Kunai,FIRE,,80,100,5,2,NearOther,The user always goes first and hits the target by throwing flaming kunai.
FIRELASH,Fire Lash,FIRE,,80,100,15,0,NearOther,The user strikes the target with a burning lash. This also lowers the target's Defense stat.
FIREPLEDGE,Fire Pledge,FIRE,Physical,80,100,10,0,NearOther,"A column of fire hits opposing Pokémon. When used with its Grass equivalent, it makes a sea of fire."
FIREPUNCH,Fire Punch,FIRE,,75,100,15,0,NearOther,The target is punched with a fiery fist. It may leave the target with a burn.
FIRESPIN,Fire Spin,FIRE,Physical,35,85,15,0,NearOther,The target becomes trapped within a fierce vortex of fire that rages for four to five turns.
FIRSTIMPRESSION,First Impression,BUG,,90,100,10,2,NearOther,The user instinctively attacks with great power and speed. It only works the first turn the user is in battle.
FISHIOUSREND,Fishious Rend,WATER,,85,100,10,0,NearOther,The user rends the target with its hard gills. Power doubles if the user moves first.
FISSURE,Fissure,GROUND,,1,30,5,0,NearOther,The user opens up a fissure in the ground and drops the foe in. The target instantly faints if it hits.
FLAIL,Flail,NORMAL,,1,100,15,0,NearOther,The user flails about aimlessly to attack. It becomes more powerful the less HP the user has.
FLAMEBURST,Flame Burst,FIRE,Physical,70,100,15,0,NearOther,The user attacks the foe with a bursting flame. It also damages Pokémon next to the target.
FLAMECHARGE,Flame Charge,FIRE,,50,100,20,0,NearOther,"The user cloaks itself in flame and attacks. Building up more power, it raises the user's Speed stat."
FLAMETHROWER,Flamethrower,FIRE,Physical,90,100,15,0,NearOther,The target is scorched with an intense blast of fire. It may also leave the target with a burn.
FLAMEWHEEL,Flame Wheel,FIRE,,60,100,25,0,NearOther,The user cloaks itself in fire and charges at the target. It may also leave the target with a burn.
FLAREBLITZ,Flare Blitz,FIRE,,120,100,15,0,NearOther,The user cloaks itself in fire and charges at the foe. The user also takes damage and may burn the target.
FLASH,Flash,ELECTRIC,Physical,60,100,20,0,AllNearFoes,The user flashes a blinding light at the opponents. It can also lower accuracy.
FLASHCANNON,Flash Cannon,STEEL,Physical,80,100,10,0,NearOther,The user gathers all its light energy and releases it at once. It may also lower the target's Sp. Def stat.
FLATTER,Flatter,DARK,Special,0,100,15,0,NearOther,"Flattery is used to confuse the target. However, it also raises the target's Sp. Atk stat."
FLAVORTEST,Flavor Test,FAIRY,,75,95,10,0,Other,"The user tries to taste the enemy like a sweet, while also recovering a bit of health. The move is also Ice type."
FLEURCANNON,Fleur Cannon,FAIRY,Physical,130,90,5,0,NearOther,The user unleashes a strong beam. The attack's recoil harshly lowers the user's Sp. Atk stat.
FLING,Fling,DARK,,1,100,10,0,NearOther,The user flings its held item at the target to attack. Its power and effects depend on the item.
FLIPTURN,Flip Turn,WATER,,60,100,20,0,NearOther,"After making its attack, the user rushes back to switch places with a party Pokémon in waiting."
FLOORFEAST,Floor Feast,GROUND,Special,0,100,10,0,User,"The user eats the hazards on the floor, healing its HP. Fails if there're none."
FLORALECHO,Floral Echo,SOUND,Physical,20,90,10,0,NearOther,A scream repeated up to three times by flowers that are part of the user's body. Gets stronger with each hit.
FLORALHEALING,Floral Healing,FAIRY,Special,0,0,10,0,NearOther,The user restores the target's HP by up to half of its max HP. It restores more HP when the terrain is grass.
FLOWERSHIELD,Flower Shield,FAIRY,Special,0,0,10,0,AllBattlers,The user raises the Defense stats of all Grass-type Pokémon in battle with a mysterious power.
FLOWERTRICK,Flower Trick,GRASS,,70,0,10,0,NearOther,"The user throws a rigged bouquet of flowers at the target, which always hits and lands a critical hit."
FLUTTERKICKS,Flutter Kicks,FLYING,,25,95,20,0,NearOther,The target is struck with a series of flying kicks two to five times in a row.
FLY,Fly,FLYING,,90,100,15,0,Other,"The user soars, then strikes on the second turn. It can also be used for flying to any familiar town."
FLYINGPRESS,Flying Press,FIGHTING,,100,95,10,0,Other,The user dives down onto the target from the sky. This move is Fighting and Flying type simultaneously.
FOCUSBLAST,Focus Blast,FIGHTING,Physical,110,85,5,0,NearOther,The user heightens its mental focus and unleashes its power. It may also lower the target's Sp. Def.
FOCUSENERGY,Focus Energy,NORMAL,Special,0,0,30,0,User,The user takes a deep breath and focuses so that critical hits land more easily.
FOCUSPUNCH,Focus Punch,FIGHTING,,150,100,20,-3,NearOther,The user focuses its mind before launching a punch. It will fail if the user is hit before it is used.
FOLLOWME,Follow Me,NORMAL,Special,0,0,20,2,User,"The user draws attention to itself, making all targets take aim only at the user."
FORCEPALM,Force Palm,FIGHTING,,60,100,10,0,NearOther,The target is attacked with a shock wave. It may also leave the target with paralysis.
FORESIGHT,Foresight,NORMAL,Special,0,0,40,0,NearOther,Enables the user to hit a Ghost type with any kind of move. It also enables the user to hit an evasive foe.
FORESTSCURSE,Forest's Curse,GRASS,Special,0,100,20,0,NearOther,The user puts a forest curse on the target. The target is now Grass type as well.
FOULPLAY,Foul Play,DARK,,95,100,15,0,NearOther,The user turns the foe's power against it. It does more damage the higher the target's Attack stat.
FREEZEDRY,Freeze-Dry,ICE,Physical,70,100,20,0,NearOther,The user rapidly cools the target. This may freeze the target. Is super-effective on Water types.
FREEZESHOCK,Freeze Shock,ICE,,140,90,5,0,NearOther,"On the second turn, the user hits the foe with electrically charged ice. It may also paralyze the foe."
FREEZINGGLARE,Freezing Glare,PSYCHIC,Physical,90,100,10,0,NearOther,The user shoots its psychic power from its eyes to attack. This may also leave the target frozen.
FRENZYPLANT,Frenzy Plant,GRASS,Physical,150,90,5,0,NearOther,The user slams the target with an enormous tree. This move can’t be used twice in a row.
FRIGHTWAIL,Fright Wail,GHOST,Physical,60,90,10,-6,NearOther,"The user scares away the target and drags out another Pokémon in its party. In the wild, the battle ends."
FROSTBREATH,Frost Breath,ICE,Physical,60,90,10,0,NearOther,The user blows a cold breath on the target. This attack always results in a critical hit.
FROSTCALL,Frostcall,ICE,Special,0,90,15,0,NearOther,"The user blasts the target with super-cold air, leaving them with frostbite."
FRUSTRATION,Frustration,NORMAL,,1,100,20,0,NearOther,A full-power attack that grows more powerful the less the user likes its Trainer.
FULLSALVO,Full Salvo,STEEL,,25,100,20,0,AllNearFoes,The user unleashes a rain of metal bullets against all opponents. This move hits two to five times in a row.
FURCHARGE,Fur Charge,ELECTRIC,Special,0,0,20,0,User,"The user charges up its fur, boosting Attack, Defense and Special Defense."
FURYATTACK,Fury Attack,NORMAL,,30,90,20,0,NearOther,The target is jabbed repeatedly with a horn or beak two to five times in a row.
FURYCUTTER,Fury Cutter,BUG,,40,95,20,0,NearOther,"The user attacks by slashing the target with scythes, claws, or the like. This move's power doubles each time it hits in succession."
FURYSWIPES,Fury Swipes,NORMAL,,25,100,15,0,NearOther,The target is raked with sharp claws or scythes for two to five times in quick succession.
FUSIONBOLT,Fusion Bolt,ELECTRIC,,100,100,5,0,NearOther,The user throws down a giant thunderbolt. It does more damage if influenced by an enormous flame.
FUSIONFLARE,Fusion Flare,FIRE,Physical,100,100,5,0,NearOther,The user brings down a giant flame. It does more damage if influenced by an enormous thunderbolt.
FUTURESIGHT,Future Sight,PSYCHIC,Physical,120,100,10,0,NearOther,"Two turns after this move is used, a hunk of psychic energy attacks the target."
GASTROACID,Gastro Acid,POISON,Special,0,100,10,0,NearOther,The user hurls up its stomach acids on the foe. The fluid negates the effect of the target's Ability.
GEARGRIND,Gear Grind,STEEL,,50,85,15,0,NearOther,The user attacks by throwing two steel gears at its target.
GEARUP,Gear Up,STEEL,Special,0,0,20,0,UserAndAllies,The user engages its gears to raise the Attack and Sp. Atk of allies with the Plus or Minus Ability.
GEOMANCY,Geomancy,FAIRY,Special,0,0,10,0,User,"The user absorbs energy and sharply raises its Sp. Atk, Sp. Def, and Speed stats on the next turn."
GIGADRAIN,Giga Drain,GRASS,Physical,75,100,10,0,NearOther,A nutrient-draining attack. The user's HP is restored by up to half the damage taken by the target.
GIGAIMPACT,Giga Impact,NORMAL,,180,90,5,0,NearOther,The user charges at the target using every bit of its power. The user must rest on the next turn.
GIGATONHAMMER,Gigaton Hammer,STEEL,,160,100,5,0,NearOther,The user attacks with its huge hammer. This move can’t be used twice in a row.
GLACIALLANCE,Glacial Lance,ICE,,130,100,5,0,AllNearFoes,The user attacks by hurling a blizzard-cloaked icicle lance at opposing Pokémon.
GLACIATE,Glaciate,ICE,Physical,65,95,10,0,AllNearFoes,The user attacks by blowing freezing cold air at the foe. This attack reduces the targets' Speed stat.
GLAIVERUSH,Glaive Rush,DRAGON,,120,100,5,0,NearOther,The user becomes highly vulnerable to attacks until its next turn after using this move.
GLARE,Glare,NORMAL,Special,0,100,30,0,NearOther,The user intimidates the target with the pattern on its belly to cause paralysis.
GRASSKNOT,Grass Knot,GRASS,Physical,1,100,20,0,NearOther,"The user snares the target with grass and trips it. The heavier the target, the greater the damage."
GRASSPLEDGE,Grass Pledge,GRASS,Physical,80,100,10,0,NearOther,"A column of grass hits the foes. When used with its water equivalent, it creates a vast swamp."
GRASSWHISTLE,Grass Whistle,GRASS,Special,0,55,15,0,NearOther,The user plays a pleasant melody that lulls the target into a deep sleep.
GRASSYGLIDE,Grassy Glide,GRASS,,70,100,20,0,NearOther,"Gliding on the ground, the user attacks the target. This move always goes first on Grassy Terrain."
GRASSYTERRAIN,Grassy Terrain,GRASS,Special,0,0,10,0,BothSides,The user turns the ground to grass for five turns. Grounded Pokémon restore a little HP every turn.
GRAVAPPLE,Grav Apple,GRASS,,80,100,10,0,NearOther,The user inflicts damage by dropping an apple from high above. This also lowers the target's Defense.
GRAVITY,Gravity,PSYCHIC,Special,0,0,5,0,BothSides,"Gravity is intensified for five turns, making moves involving flying unusable and negating Levitation."
GROWL,Growl,SOUND,Special,0,100,40,0,AllNearFoes,"The user growls in an endearing way, making the foe less wary. The foe's Attack stat is lowered."
GROWTH,Growth,NORMAL,Special,0,0,20,0,User,"The user's body grows all at once, raising the Atk and Sp. Atk stats."
GRUDGE,Grudge,GHOST,Special,0,0,5,0,User,"If the user faints, the user's grudge fully depletes the PP of the foe's move that knocked it out."
GUARDSPLIT,Guard Split,PSYCHIC,Special,0,0,10,0,NearOther,The user employs its psychic power to average its Defense and Sp. Def stats with those of its target.
GUARDSWAP,Guard Swap,PSYCHIC,Special,0,0,10,0,NearOther,The user employs its psychic power to switch changes to its Defense and Sp. Def with the target.
GUILLOTINE,Guillotine,NORMAL,,1,30,5,0,NearOther,"A vicious, tearing attack with big pincers. The target will faint instantly if this attack hits."
GUNKSHOT,Gunk Shot,POISON,,120,80,5,0,NearOther,The user shoots filthy garbage at the target to attack. It may also poison the target.
GUST,Gust,FLYING,Physical,40,100,35,0,Other,A gust of wind is whipped up by wings and launched at the target to inflict damage.
GYROBALL,Gyro Ball,STEEL,,1,100,5,0,NearOther,"The user tackles the target with a high-speed spin. The slower the user, the greater the damage."
HAIL,Hail,ICE,Special,0,0,10,0,BothSides,The user summons a hail storm lasting five turns. It damages all Pokémon except the Ice type.
HAMMERARM,Hammer Arm,FIGHTING,,100,90,10,0,NearOther,"The user swings and hits with its strong and heavy fist. It lowers the user's Speed, however."
HAPPYHOUR,Happy Hour,NORMAL,Special,0,0,30,0,UserSide,Using Happy Hour doubles the amount of prize money received after battle.
HARDEN,Harden,NORMAL,Special,0,0,30,0,User,The user stiffens all the muscles in its body to raise its Defense stat.
HARDPRESS,Hard Press,STEEL,,1,100,10,0,NearOther,The target is crushed with great force. The attack is more powerful the more HP the target has left.
HAWTHORNS,Hawthorns,GRASS,Special,0,0,15,0,UserSide,"The user creates a field of Hawthorn at their feet, which heals 20% of the health of any ally that switches in."
HAYWIREKICK,Haywire Kick,ELECTRIC,,95,80,10,0,NearOther,The user builds up a charge and delivers an electric kick. It may also leave the target paralyzed.
HAZE,Haze,ICE,Special,0,0,30,0,BothSides,The user creates a haze that eliminates every stat change among all the Pokémon engaged in battle.
HEADBUTT,Headbutt,NORMAL,,70,100,15,0,NearOther,The user sticks out its head and attacks by charging into the foe. It may also make the target flinch.
HEADLONGRUSH,Headlong Rush,GROUND,,120,100,5,0,NearOther,The user rams into the target in a full-body tackle. This lowers the user’s Defense and Sp. Def stats.
HEADSMASH,Head Smash,ROCK,,150,80,5,0,NearOther,"The user attacks the foe with a hazardous, full-power headbutt. The user also takes terrible damage."
HEALBELL,Heal Bell,SOUND,Special,0,0,5,0,UserAndAllies,The user makes a soothing bell chime to heal the status problems of all the party Pokémon.
HEALBLOCK,Heal Block,PSYCHIC,Special,0,100,15,0,AllNearFoes,"For five turns, the foe is prevented from using any moves, Abilities, or held items that recover HP."
HEALINGWISH,Healing Wish,PSYCHIC,Special,0,0,10,0,User,"The user faints. In return, the Pokémon taking its place will have its HP restored and status cured."
HEALORDER,Heal Order,BUG,Special,0,0,10,0,User,The user calls out its underlings to heal it. The user regains up to half of its max HP.
HEALPULSE,Heal Pulse,PSYCHIC,Special,0,0,10,0,Other,The user emits a healing pulse which restores the target's HP by up to half of its max HP.
HEARTSTAMP,Heart Stamp,PSYCHIC,,60,100,25,0,NearOther,The user unleashes a vicious blow after its cute act makes the foe less wary. It may also cause flinching.
HEARTSWAP,Heart Swap,PSYCHIC,Special,0,0,10,0,NearOther,The user employs its psychic power to switch stat changes with the target.
HEATCRASH,Heat Crash,FIRE,,1,100,10,0,NearOther,"The user slams the foe with its flaming body. The heavier the user is, the greater the damage."
HEATWAVE,Heat Wave,FIRE,Physical,95,90,10,0,AllNearFoes,The user attacks by exhaling hot breath on the opposing team. It may also leave targets with a burn.
HEAVYSLAM,Heavy Slam,STEEL,,1,100,10,0,NearOther,"The user slams into the foe with its heavy body. The heavier the user, the greater the damage."
HELPINGHAND,Helping Hand,NORMAL,Special,0,0,20,5,NearAlly,The user assists an ally by boosting the power of its attack.
HEX,Hex,GHOST,Physical,65,100,10,0,NearOther,This relentless attack does massive damage to a target affected by status problems.
HIDDENPOWER,Hidden Power,NORMAL,Physical,60,100,15,0,NearOther,A unique special attack that varies in type depending on the Pokémon using it.
HIGHHORSEPOWER,High Horsepower,GROUND,,95,95,10,0,NearOther,The user fiercely attacks the target using its entire body.
HIGHJUMPKICK,High Jump Kick,FIGHTING,,130,90,10,0,NearOther,"The target is attacked with a knee kick from a jump. If it misses, the user is hurt instead."
HISS,Hiss,SOUND,Special,0,0,40,0,NearOther,The user intimidates the opponent by emitting a hiss that reduces their Defense and Special Defense.
HOLDBACK,Hold Back,NORMAL,,40,100,40,0,NearOther,"The user holds back when it attacks, and the target is left with at least 1 HP."
HOLDHANDS,Hold Hands,NORMAL,Special,0,0,40,0,NearAlly,The user and an ally hold hands. This makes them very happy.
HOLOPROJECTION,Holo Projection,ELECTRIC,Special,0,0,5,0,User,The user makes an holographic copy using 1/8 of its HP. The copy takes 1 hit instead of the user.
HONECLAWS,Hone Claws,DARK,Special,0,0,15,0,User,The user sharpens its claws to boost its Attack stat and accuracy.
HORNATTACK,Horn Attack,NORMAL,,65,100,25,0,NearOther,The target is jabbed with a sharply pointed horn to inflict damage.
HORNDRILL,Horn Drill,NORMAL,,1,30,5,0,NearOther,"The user stabs the foe with a horn that rotates like a drill. If it hits, the target faints instantly."
HORNLEECH,Horn Leech,GRASS,,75,100,10,0,NearOther,The user drains the foe's energy with its horns. The user's HP is restored by half the damage inflicted.
HOTCHILIPEPPER,Hot Chili Pepper,GRASS,Physical,80,100,15,0,NearOther,"The user throws spicy seeds at the enemy, which can also burn it."
HOWL,Howl,SOUND,Special,0,0,40,0,UserAndAllies,"The user howls loudly to raise the spirit of itself and allies, boosting their Attack stats."
HURRICANE,Hurricane,FLYING,Physical,110,70,10,0,Other,The user wraps its foe in a fierce wind that flies up into the sky. It may also confuse the foe.
HYDROCANNON,Hydro Cannon,WATER,Physical,150,90,5,0,NearOther,The target is hit with a watery blast. This move can’t be used twice in a row.
HYDROFANG,Hydro Fang,WATER,,65,95,15,0,NearOther,The user crunches up the target with the power of water currents.
HYDROPUMP,Hydro Pump,WATER,Physical,110,80,5,0,NearOther,The target is blasted by a huge volume of water launched under great pressure.
HYDROSTEAM,Hydro Steam,WATER,Physical,80,100,15,0,NearOther,The user blasts the target with boiling-hot water whose power is boosted in harsh sunlight.
HYPERBEAM,Hyper Beam,NORMAL,Physical,180,90,5,0,NearOther,The foe is attacked with a powerful beam. The user must rest on the next turn to regain its energy.
HYPERDRILL,Hyper Drill,NORMAL,,90,100,10,0,NearOther,The user spins the pointed part of its body at high speed to pierce the target and any screens that protect them.
HYPERFANG,Hyper Fang,NORMAL,,80,90,15,0,NearOther,The user bites hard on the target with its sharp front fangs. It may also make the target flinch.
HYPERSPACEFURY,Hyperspace Fury,DARK,,100,0,5,0,NearOther,"Unleashes a barrage of multi-arm attacks, skipping protections. This lowers the user's Defense stat."
HYPERSPACEHOLE,Hyperspace Hole,PSYCHIC,Physical,80,0,5,0,NearOther,"Using a hyperspace hole, the user appears right next to the target and strikes. Skips protections."
HYPERVOICE,Hyper Voice,SOUND,Physical,90,100,10,0,AllNearFoes,"The user attacks by letting loose a horribly loud, resounding cry."
HYPNOSIS,Hypnosis,PSYCHIC,Special,0,60,20,0,NearOther,The user employs hypnotic suggestion to make the target fall into a deep sleep.
ICEBALL,Ice Ball,ICE,,30,90,20,0,NearOther,The user continually rolls into the target over five turns. It becomes stronger each time it hits.
ICEBEAM,Ice Beam,ICE,Physical,90,100,10,0,NearOther,The target is struck with an icy-cold beam of energy. This may also leave the target with frostbite.
ICEBURN,Ice Burn,ICE,Physical,140,90,5,0,NearOther,"On the second turn, an ultracold, freezing wind surrounds the foe. This may leave it with a burn."
ICEFANG,Ice Fang,ICE,,65,95,15,0,NearOther,The user bites with cold-infused fangs. It may also make the target flinch or leave it frozen.
ICEHAMMER,Ice Hammer,ICE,,100,90,10,0,NearOther,"The user swings and hits with its strong, heavy fist. It lowers the user's Speed, however."
ICEPUNCH,Ice Punch,ICE,,75,100,15,0,NearOther,The target is punched with an icy fist. It may also leave the target frozen.
ICESHARD,Ice Shard,ICE,,40,100,30,1,NearOther,The user flash freezes chunks of ice and hurls them at the target. This move always goes first.
ICESPINNER,Ice Spinner,ICE,,80,100,15,0,NearOther,The user spins into the target with feet covered in thin ice. This also destroys the terrain.
ICICLECRASH,Icicle Crash,ICE,,85,90,10,0,NearOther,The user attacks by harshly dropping an icicle onto the foe. It may also make the target flinch.
ICICLESPEAR,Icicle Spear,ICE,,25,100,30,0,NearOther,The user launches sharp icicles at the target. It strikes two to five times in a row.
ICYWIND,Icy Wind,ICE,Physical,55,95,15,0,AllNearFoes,The user attacks with a gust of chilled air. This also lowers opposing Pokémon's Speed stats.
IMPRISON,Imprison,PSYCHIC,Special,0,0,10,0,User,"If the foe knows any move also known by the user, the foe is prevented from using it."
INCINERATE,Incinerate,FIRE,Physical,60,100,15,0,AllNearFoes,The user attacks the foe with fire. The target's held Berry becomes burnt up and unusable.
INFERNALPARADE,Infernal Parade,GHOST,Physical,60,100,15,0,NearOther,Hurls fireballs which may cause burns. Power is doubled if the target has a status condition.
INFERNO,Inferno,FIRE,Physical,100,50,5,0,NearOther,The user attacks by engulfing the target in an intense fire. It leaves the target with a burn.
INFESTATION,Infestation,BUG,Physical,20,100,20,0,NearOther,The target is infested and attacked for four to five turns. The target can’t flee during this time.
INGRAIN,Ingrain,GRASS,Special,0,0,20,0,User,"The user lays roots that restore its HP on every turn. Because it is rooted, it can't switch out."
INSTRUCT,Instruct,PSYCHIC,Special,0,0,15,0,NearOther,The user instructs the target to use the target's last move again.
IONDELUGE,Ion Deluge,ELECTRIC,Special,0,0,25,1,BothSides,The user disperses electrically charged particles. Normal-type moves become Electric-type.
IRONDEFENSE,Iron Defense,STEEL,Special,0,0,15,0,User,"The user hardens its body's surface like iron, sharply raising its Defense stat."
IRONHEAD,Iron Head,STEEL,,80,100,15,0,NearOther,The foe slams the target with its steel-hard head. It may also make the target flinch.
IRONTAIL,Iron Tail,STEEL,,100,85,15,0,NearOther,The target is slammed with a steel-hard tail. This may also lower the target's Defense stat.
